check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.40235947810852507 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.35765286942980007
kilomet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lake baikal deepest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lake baikal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lake commenc complet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lake commenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lake | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
landscap cultur experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
landscap cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
landscap includ ural | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
landscap includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
landscap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
lifetim adventur avid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lifetim adventur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
lifetim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
marvel uniqu immers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
marvel uniqu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
marvel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mile tran siberian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mile tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mile | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.017121679919511704 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
mongolia china offer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mongolia china | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mongolia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mongolian divert mongolia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mongolian divert | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mongolian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
moscow west russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
moscow west | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
moscow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mountain plain siberia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mountain plain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
mountain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
offer divers landscap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
offer divers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
offer uniqu travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
offer uniqu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
offer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
opt rout tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
opt rout | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
opt | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
plain siberia shore | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
plain siberia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
plain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
provid unparallel experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
provid unparallel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
provid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai connect moscow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai connect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai consid lifetim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai consid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai offer uniqu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai offer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai railwai connect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai vital transport | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai vital | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.1224779304784067
remark feat engin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
remark feat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
remark | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
rout remark feat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
rout remark | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
rout tran mongolian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
rout tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
rout | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
russia geographi cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
russia geographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
russia vast vari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
russia vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
russia vladivostok countri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
russia vladivostok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.07348675828704401
scale divers russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
scale divers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
scale | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
seaboard journei railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
seaboard journei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
seaboard | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
sheer scale divers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
sheer scale | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
sheer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
shore lake baikal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
shore lake | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
shore | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
showcas russia vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
showcas russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
showcas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
siberia shore lake | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
siberia shore | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
siberia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
siberian railwai consid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
siberian railwai railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
siberian railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
siberian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
signific engin marvel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
signific engin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
signific | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
span impress distanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
span impress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
span | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
time zone provid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
time zone | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
time | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
tran mongolian divert | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
tran mongolian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
tran siberian railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
tran siberian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.07348675828704401
transport rout remark | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
transport rout | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
transport | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel combin histor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel combin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel experi showcas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel opt rout | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel opt | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.05136503975853511 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
uniqu immers vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
uniqu immers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
uniqu travel experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
uniqu travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
uniqu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
unparallel experi sheer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
unparallel experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
unparallel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
ural mountain plain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
ural mountain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
ural | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vari landscap includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vari landscap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.017121679919511704 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
vast eurasian contin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vast eurasian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vast vari landscap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vast vari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vital transport rout | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vital transport | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vital | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vladivostok countri eastern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vladivostok countri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
vladivostok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
west russia vladivostok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
west russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
west | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
zone provid unparallel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
zone provid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
zone | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
add item collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
add item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
add | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
agenc research scholar | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
agenc research | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
agenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
bibl perfect vellum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
bibl perfect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
bibl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
book print materi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
book print | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
book shelf space | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
book shelf | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.06486155191532524
bookshelv collect includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
bookshelv collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
bookshelv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect dai emphas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect dai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect hold item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect hold | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect includ book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.09729232787298785
congress add item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
congress add | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
congress govern agenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
congress govern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
congress washington feder | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
congress washington | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
congress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.09729232787298785
copi exist record | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
copi exist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
copi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
creativ librari serv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
creativ librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
creativ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
cultur institut unit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
cultur institut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
dai emphas grow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
dai emphas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
dai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
declar independ gutenberg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
declar independ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
declar | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
draft declar independ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
draft declar | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
draft | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
emphas grow natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
emphas grow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
emphas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
establish institut rich | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
establish institut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
establish | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
exist record librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
exist record | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
fascin immens collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
fascin immens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
feder cultur institut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
feder cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
feder | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
global knowledg histori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
global knowledg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
global | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
govern agenc research | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
govern agenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
govern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
grow natur repositori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
grow natur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
grow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
gutenberg bibl perfect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
gutenberg bibl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
gutenberg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
histori fascin immens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
histori fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
histori librari congress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
histori librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
histori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.06486155191532524
hold item mile | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
hold item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
hold | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
human knowledg creativ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
human knowledg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
immens collect hold | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
immens collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
immens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
includ book print | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
includ book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
independ gutenberg bibl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
independ gutenberg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
institut rich histori | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
institut rich | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
institut unit largest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
institut unit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
institut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.06486155191532524
item collect dai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
item collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
item mile bookshelv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
item mile | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.06486155191532524
knowledg creativ librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
knowledg creativ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.03243077595766262
